  UNIT                                                                                                                                                               LOAD      ACTIVE   SUB       DESCRIPTION
  sys-devices-pci0000:00-0000:00:1d.0-0000:02:00.0-nvme-nvme0-nvme0n1.device                                                                                         loaded    active   plugged   KBG30ZPZ256G TOSHIBA
  sys-devices-pci0000:00-0000:00:1f.3-sound-card0-controlC0.device                                                                                                   loaded    active   plugged   /sys/devices/pci0000:00/0000:00:1f.3/sound/card0/controlC0
  sys-devices-platform-NTC0103:00-tpm-tpm0.device                                                                                                                    loaded    active   plugged   /sys/devices/platform/NTC0103:00/tpm/tpm0
  sys-devices-platform-NTC0103:00-tpmrm-tpmrm0.device                                                                                                                loaded    active   plugged   /sys/devices/platform/NTC0103:00/tpmrm/tpmrm0
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.0-tty-ttyS0.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.0/tty/ttyS0
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.1-tty-ttyS1.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.1/tty/ttyS1
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.10-tty-ttyS10.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/tty/ttyS10
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.11-tty-ttyS11.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.11/tty/ttyS11
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.12-tty-ttyS12.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.12/tty/ttyS12
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.13-tty-ttyS13.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.13/tty/ttyS13
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.14-tty-ttyS14.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.14/tty/ttyS14
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.15-tty-ttyS15.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.15/tty/ttyS15
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.16-tty-ttyS16.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.16/tty/ttyS16
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.17-tty-ttyS17.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.17/tty/ttyS17
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.18-tty-ttyS18.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.18/tty/ttyS18
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.19-tty-ttyS19.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.19/tty/ttyS19
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.2-tty-ttyS2.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.2/tty/ttyS2
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.20-tty-ttyS20.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.20/tty/ttyS20
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.21-tty-ttyS21.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.21/tty/ttyS21
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.22-tty-ttyS22.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.22/tty/ttyS22
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.23-tty-ttyS23.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.23/tty/ttyS23
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.24-tty-ttyS24.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.24/tty/ttyS24
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.25-tty-ttyS25.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.25/tty/ttyS25
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.26-tty-ttyS26.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.26/tty/ttyS26
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.27-tty-ttyS27.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.27/tty/ttyS27
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.28-tty-ttyS28.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.28/tty/ttyS28
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.29-tty-ttyS29.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.29/tty/ttyS29
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.3-tty-ttyS3.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.3/tty/ttyS3
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.30-tty-ttyS30.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.30/tty/ttyS30
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.31-tty-ttyS31.device                                                                                     loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.31/tty/ttyS31
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.5-tty-ttyS5.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.5/tty/ttyS5
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.6-tty-ttyS6.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.6/tty/ttyS6
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.7-tty-ttyS7.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.7/tty/ttyS7
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.8-tty-ttyS8.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.8/tty/ttyS8
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.9-tty-ttyS9.device                                                                                       loaded    active   plugged   /sys/devices/platform/serial8250/serial8250:0/serial8250:0.9/tty/ttyS9
  sys-devices-virtual-block-zram0.device                                                                                                                             loaded    active   plugged   /sys/devices/virtual/block/zram0
  sys-devices-virtual-misc-rfkill.device                                                                                                                             loaded    active   plugged   /sys/devices/virtual/misc/rfkill
  sys-devices-virtual-net-tailscale0.device                                                                                                                          loaded    active   plugged   /sys/devices/virtual/net/tailscale0
  sys-devices-virtual-tty-ttyprintk.device                                                                                                                           loaded    active   plugged   /sys/devices/virtual/tty/ttyprintk
  sys-module-configfs.device                                                                                                                                         loaded    active   plugged   /sys/module/configfs
  sys-module-fuse.device                                                                                                                                             loaded    active   plugged   /sys/module/fuse
  sys-subsystem-bluetooth-devices-hci0.device                                                                                                                        loaded    active   plugged   /sys/subsystem/bluetooth/devices/hci0
  sys-subsystem-bluetooth-devices-hci0:128.device                                                                                                                    loaded    active   plugged   /sys/subsystem/bluetooth/devices/hci0:128
  sys-subsystem-bluetooth-devices-hci0:129.device                                                                                                                    loaded    active   plugged   /sys/subsystem/bluetooth/devices/hci0:129
  sys-subsystem-net-devices-tailscale0.device                                                                                                                        loaded    active   plugged   /sys/subsystem/net/devices/tailscale0
  sys-subsystem-net-devices-wlp1s0.device                                                                                                                            loaded    active   plugged   88W8897 [AVASTAR] 802.11ac Wireless
  -.mount                                                                                                                                                            loaded    active   mounted   Root Mount
  boot-efi.mount                                                                                                                                                     loaded    active   mounted   /boot/efi
● boot.mount                                                                                                                                                         not-found inactive dead      boot.mount
  dev-hugepages.mount                                                                                                                                                loaded    active   mounted   Huge Pages File System
  dev-mqueue.mount                                                                                                                                                   loaded    active   mounted   POSIX Message Queue File System
● home.mount                                                                                                                                                         not-found inactive dead      home.mount
  media-daniele-Seagate6TB2.mount                                                                                                                                    loaded    active   mounted   Mount Seagate6TB2 backup disk by UUID
  proc-sys-fs-binfmt_misc.mount                                                                                                                                      loaded    active   mounted   Arbitrary Executable File Formats File System
● run-credentials-systemd\x2dresolved.service.mount                                                                                                                  not-found inactive dead      run-credentials-systemd\x2dresolved.service.mount
● run-credentials-systemd\x2dsysctl.service.mount                                                                                                                    not-found inactive dead      run-credentials-systemd\x2dsysctl.service.mount
● run-credentials-systemd\x2dsysusers.service.mount                                                                                                                  not-found inactive dead      run-credentials-systemd\x2dsysusers.service.mount
● run-credentials-systemd\x2dtmpfiles\x2dclean.service.mount                                                                                                         not-found inactive dead      run-credentials-systemd\x2dtmpfiles\x2dclean.service.mount
● run-credentials-systemd\x2dtmpfiles\x2dsetup.service.mount                                                                                                         not-found inactive dead      run-credentials-systemd\x2dtmpfiles\x2dsetup.service.mount
● run-credentials-systemd\x2dtmpfiles\x2dsetup\x2ddev.service.mount                                                                                                  not-found inactive dead      run-credentials-systemd\x2dtmpfiles\x2dsetup\x2ddev.service.mount
● run-credentials-systemd\x2dtmpfiles\x2dsetup\x2ddev\x2dearly.service.mount                                                                                         not-found inactive dead      run-credentials-systemd\x2dtmpfiles\x2dsetup\x2ddev\x2dearly.service.mount
  run-user-1000-doc.mount                                                                                                                                            loaded    active   mounted   /run/user/1000/doc
  run-user-1000-gvfs.mount                                                                                                                                           loaded    active   mounted   /run/user/1000/gvfs
  run-user-1000.mount                                                                                                                                                loaded    active   mounted   /run/user/1000
  sys-fs-fuse-connections.mount                                                                                                                                      loaded    active   mounted   FUSE Control File System
  sys-kernel-config.mount                                                                                                                                            loaded    active   mounted   Kernel Configuration File System
  sys-kernel-debug.mount                                                                                                                                             loaded    active   mounted   Kernel Debug File System
  sys-kernel-tracing.mount                                                                                                                                           loaded    active   mounted   Kernel Trace File System
● tmp.mount                                                                                                                                                          not-found inactive dead      tmp.mount
  cups.path                                                                                                                                                          loaded    active   running   CUPS Scheduler
  systemd-ask-password-console.path                                                                                                                                  loaded    inactive dead      Dispatch Password Requests to Console Directory Watch
  systemd-ask-password-plymouth.path                                                                                                                                 loaded    active   waiting   Forward Password Requests to Plymouth Directory Watch
  systemd-ask-password-wall.path                                                                                                                                     loaded    active   waiting   Forward Password Requests to Wall Directory Watch
  tpm-udev.path                                                                                                                                                      loaded    inactive dead      Handle dynamically added tpm devices
  init.scope                                                                                                                                                         loaded    active   running   System and Service Manager
  session-c2.scope                                                                                                                                                   loaded    active   running   Session c2 of User daniele
  accounts-daemon.service                                                                                                                                            loaded    active   running   Accounts Service
  alsa-restore.service                                                                                                                                               loaded    active   exited    Save/Restore Sound Card State
  alsa-state.service                                                                                                                                                 loaded    inactive dead      Manage Sound Card State (restore and store)
  anacron.service                                                                                                                                                    loaded    inactive dead      Run anacron jobs
  apparmor.service                                                                                                                                                   loaded    active   exited    Load AppArmor profiles
  apt-daily-upgrade.service                                                                                                                                          loaded    inactive dead      Daily apt upgrade and clean activities
  apt-daily.service                                                                                                                                                  loaded    inactive dead      Daily apt download activities
● auditd.service                                                                                                                                                     not-found inactive dead      auditd.service
● auto-cpufreq.service                                                                                                                                               not-found inactive dead      auto-cpufreq.service
  avahi-daemon.service                                                                                                                                               loaded    active   running   Avahi mDNS/DNS-SD Stack
  blk-availability.service                                                                                                                                           loaded    active   exited    Availability of block devices
  blueman-mechanism.service                                                                                                                                          loaded    inactive dead      Bluetooth management mechanism
  bluetooth.service                                                                                                                                                  loaded    active   running   Bluetooth service
● casper-md5check.service                                                                                                                                            loaded    failed   failed    casper-md5check Verify Live ISO checksums
  casper.service                                                                                                                                                     loaded    inactive dead      Shuts down the "live" preinstalled system cleanly
  colord.service                                                                                                                                                     loaded    active   running   Manage, Install and Generate Color Profiles
● connman.service                                                                                                                                                    not-found inactive dead      connman.service
● console-screen.service                                                                                                                                             not-found inactive dead      console-screen.service
  console-setup.service                                                                                                                                              loaded    active   exited    Set console font and keymap
  cron.service                                                                                                                                                       loaded    active   running   Regular background program processing daemon
  cups-browsed.service                                                                                                                                               loaded    active   running   Make remote CUPS printers available locally
  cups.service                                                                                                                                                       loaded    active   running   CUPS Scheduler
  dbus.service                                                                                                                                                       loaded    active   running   D-Bus System Message Bus
  disk-usage-monitor.service                                                                                                                                         loaded    inactive dead      Disk usage monitor
  dm-event.service                                                                                                                                                   loaded    inactive dead      Device-mapper event daemon
  dmesg.service                                                                                                                                                      loaded    inactive dead      Save initial kernel messages after boot
  dpkg-db-backup.service                                                                                                                                             loaded    inactive dead      Daily dpkg database backup service
  e2scrub_all.service                                                                                                                                                loaded    inactive dead      Online ext4 Metadata Check for All Filesystems
  e2scrub_reap.service                                                                                                                                               loaded    inactive dead      Remove Stale Online ext4 Metadata Check Snapshots
  emergency.service                                                                                                                                                  loaded    inactive dead      Emergency Shell
● fcoe.service                                                                                                                                                       not-found inactive dead      fcoe.service
  finalrd.service                                                                                                                                                    loaded    active   exited    Create final runtime dir for shutdown pivot root
  freeze-reboot-monitor.service                                                                                                                                      loaded    active   running   Freeze/reboot diagnostic monitor
  freeze-zram-swap.service                                                                                                                                           loaded    active   exited    Conservative zram swap for freeze prevention
  fstrim.service                                                                                                                                                     loaded    inactive dead      Discard unused blocks on filesystems from /etc/fstab
  fwupd-refresh.service                                                                                                                                              loaded    inactive dead      Refresh fwupd metadata and update motd
  fwupd.service                                                                                                                                                      loaded    active   running   Firmware update daemon
  getty-static.service                                                                                                                                               loaded    inactive dead      getty on tty2-tty6 if dbus and logind are not available
  getty@tty1.service                                                                                                                                                 loaded    active   running   Getty on tty1
  getty@tty7.service                                                                                                                                                 loaded    inactive dead      Getty on tty7
  gpu-manager.service                                                                                                                                                loaded    inactive dead      Detect the available GPUs and deal with any system changes
  grub-common.service                                                                                                                                                loaded    inactive dead      Record successful boot for GRUB
  grub-initrd-fallback.service                                                                                                                                       loaded    inactive dead      GRUB failed boot detection
  iio-sensor-proxy.service                                                                                                                                           loaded    active   running   IIO Sensor Proxy service
  initrd-cleanup.service                                                                                                                                             loaded    inactive dead      Cleaning Up and Shutting Down Daemons
  initrd-parse-etc.service                                                                                                                                           loaded    inactive dead      Mountpoints Configured in the Real Root
  initrd-switch-root.service                                                                                                                                         loaded    inactive dead      Switch Root
  initrd-udevadm-cleanup-db.service                                                                                                                                  loaded    inactive dead      Cleanup udev Database
  iptsd@dev-hidraw1.service                                                                                                                                          loaded    active   running   Intel Precise Touch & Stylus Daemon
  irqbalance.service                                                                                                                                                 loaded    active   running   irqbalance daemon
● iscsi-shutdown.service                                                                                                                                             not-found inactive dead      iscsi-shutdown.service
● iscsi.service                                                                                                                                                      not-found inactive dead      iscsi.service
● iscsid.service                                                                                                                                                     not-found inactive dead      iscsid.service
● kbd.service                                                                                                                                                        not-found inactive dead      kbd.service
  kerneloops.service                                                                                                                                                 loaded    active   running   Tool to automatically collect and submit kernel crash signatures
  keyboard-setup.service                                                                                                                                             loaded    active   exited    Set the console keyboard layout
  kmod-static-nodes.service                                                                                                                                          loaded    active   exited    Create List of Static Device Nodes
  ldconfig.service                                                                                                                                                   loaded    inactive dead      Rebuild Dynamic Linker Cache
  lightdm.service                                                                                                                                                    loaded    active   running   Light Display Manager
  lm-sensors.service                                                                                                                                                 loaded    active   exited    Initialize hardware monitoring sensors
  logrotate.service                                                                                                                                                  loaded    inactive dead      Rotate log files
  lvm2-lvmpolld.service                                                                                                                                              loaded    inactive dead      LVM2 poll daemon
  lvm2-monitor.service                                                                                                                                               loaded    active   exited    Monitoring of LVM2 mirrors, snapshots etc. using dmeventd or progress polling
  man-db.service                                                                                                                                                     loaded    inactive dead      Daily man-db regeneration
  mint-cloud-backup-dashboard.service                                                                                                                                loaded    active   running   Local dashboard for Mint cloud backup
  mint-cloud-backup-kuma-push.service                                                                                                                                loaded    inactive dead      Push Mint cloud backup status to Uptime Kuma
  mint-cloud-backup-monitor.service                                                                                                                                  loaded    active   running   Monitor Mint cloud backup health and progress
  mint-cloud-backup.service                                                                                                                                          loaded    inactive dead      Mint cloud backup to Backblaze B2 with restic
  mintsystem.service                                                                                                                                                 loaded    inactive dead      mintsystem.service
  mintupdate-automation-autoremove.service                                                                                                                           loaded    inactive dead      Update Manager weekly autoremove
  mintupdate-automation-upgrade.service                                                                                                                              loaded    inactive dead      Update Manager automatic upgrades
  ModemManager.service                                                                                                                                               loaded    active   running   Modem Manager
  modprobe@configfs.service                                                                                                                                          loaded    inactive dead      Load Kernel Module configfs
  modprobe@dm_mod.service                                                                                                                                            loaded    inactive dead      Load Kernel Module dm_mod
  modprobe@drm.service                                                                                                                                               loaded    inactive dead      Load Kernel Module drm
  modprobe@efi_pstore.service                                                                                                                                        loaded    inactive dead      Load Kernel Module efi_pstore
  modprobe@fuse.service                                                                                                                                              loaded    inactive dead      Load Kernel Module fuse
  modprobe@loop.service                                                                                                                                              loaded    inactive dead      Load Kernel Module loop
  motd-news.service                                                                                                                                                  loaded    inactive dead      Message of the Day
  netplan-ovs-cleanup.service                                                                                                                                        loaded    inactive dead      OpenVSwitch configuration for cleanup
  networkd-dispatcher.service                                                                                                                                        loaded    inactive dead      Dispatcher daemon for systemd-networkd
  NetworkManager-wait-online.service                                                                                                                                 loaded    active   exited    Network Manager Wait Online
  NetworkManager.service                                                                                                                                             loaded    active   running   Network Manager
● nslcd.service                                                                                                                                                      not-found inactive dead      nslcd.service
● oem-config.service                                                                                                                                                 not-found inactive dead      oem-config.service
  openvpn.service                                                                                                                                                    loaded    active   exited    OpenVPN service
● ovsdb-server.service                                                                                                                                               not-found inactive dead      ovsdb-server.service
  plocate-updatedb.service                                                                                                                                           loaded    inactive dead      Update the plocate database
  plymouth-halt.service                                                                                                                                              loaded    inactive dead      Show Plymouth Halt Screen
  plymouth-poweroff.service                                                                                                                                          loaded    inactive dead      Show Plymouth Power Off Screen
  plymouth-quit-wait.service                                                                                                                                         loaded    active   exited    Hold until boot process finishes up
  plymouth-quit.service                                                                                                                                              loaded    inactive dead      Terminate Plymouth Boot Screen
  plymouth-read-write.service                                                                                                                                        loaded    active   exited    Tell Plymouth To Write Out Runtime Data
  plymouth-reboot.service                                                                                                                                            loaded    inactive dead      Show Plymouth Reboot Screen
  plymouth-start.service                                                                                                                                             loaded    active   exited    Show Plymouth Boot Screen
  plymouth-switch-root.service                                                                                                                                       loaded    inactive dead      Plymouth switch root service
  polkit.service                                                                                                                                                     loaded    active   running   Authorization Manager
  power-profiles-daemon.service                                                                                                                                      loaded    active   running   Power Profiles daemon
● rbdmap.service                                                                                                                                                     not-found inactive dead      rbdmap.service
  rc-local.service                                                                                                                                                   loaded    inactive dead      /etc/rc.local Compatibility
  remote-recovery-tmux.service                                                                                                                                       loaded    active   running   Persistent tmux recovery dashboard
  rescue.service                                                                                                                                                     loaded    inactive dead      Rescue Shell
  rsyslog.service                                                                                                                                                    loaded    active   running   System Logging Service
  rtkit-daemon.service                                                                                                                                               loaded    active   running   RealtimeKit Scheduling Policy Service
  rustdesk.service                                                                                                                                                   loaded    active   running   RustDesk
  screen-watchdog.service                                                                                                                                            loaded    inactive dead      Surface screen/display/USB recovery watchdog
  secureboot-db.service                                                                                                                                              loaded    inactive dead      Secure Boot updates for DB and DBX
  setvtrgb.service                                                                                                                                                   loaded    active   exited    Set console scheme
  ssh.service                                                                                                                                                        loaded    active   running   OpenBSD Secure Shell server
  ssl-cert.service                                                                                                                                                   loaded    inactive dead      Generate snakeoil SSL keypair
  surface-no-suspend.service                                                                                                                                         loaded    active   running   Block sleep/idle during Surface recovery hardening
  switcheroo-control.service                                                                                                                                         loaded    active   running   Switcheroo Control Proxy service
  system-watchdog.service                                                                                                                                            loaded    active   running   Linux Mint Uptime Kuma heartbeat watchdog
● system76-power.service                                                                                                                                             not-found inactive dead      system76-power.service
  systemd-ask-password-console.service                                                                                                                               loaded    inactive dead      Dispatch Password Requests to Console
  systemd-ask-password-plymouth.service                                                                                                                              loaded    inactive dead      Forward Password Requests to Plymouth
  systemd-ask-password-wall.service                                                                                                                                  loaded    inactive dead      Forward Password Requests to Wall
  systemd-backlight@backlight:intel_backlight.service                                                                                                                loaded    active   exited    Load/Save Screen Backlight Brightness of backlight:intel_backlight
  systemd-battery-check.service                                                                                                                                      loaded    inactive dead      Check battery level during early boot
  systemd-binfmt.service                                                                                                                                             loaded    active   exited    Set Up Additional Binary Formats
  systemd-bsod.service                                                                                                                                               loaded    inactive dead      Displays emergency message in full screen.
  systemd-firstboot.service                                                                                                                                          loaded    inactive dead      First Boot Wizard
  systemd-fsck-root.service                                                                                                                                          loaded    inactive dead      File System Check on Root Device
  systemd-fsck@dev-disk-by\x2duuid-3187\x2d604E.service                                                                                                              loaded    active   exited    File System Check on /dev/disk/by-uuid/3187-604E
  systemd-fsckd.service                                                                                                                                              loaded    inactive dead      File System Check Daemon to report status
  systemd-halt.service                                                                                                                                               loaded    inactive dead      System Halt
  systemd-hibernate-resume.service                                                                                                                                   loaded    inactive dead      Resume from hibernation
  systemd-hwdb-update.service                                                                                                                                        loaded    inactive dead      Rebuild Hardware Database
  systemd-initctl.service                                                                                                                                            loaded    inactive dead      initctl Compatibility Daemon
  systemd-journal-catalog-update.service                                                                                                                             loaded    inactive dead      Rebuild Journal Catalog
  systemd-journal-flush.service                                                                                                                                      loaded    active   exited    Flush Journal to Persistent Storage
  systemd-journald.service                                                                                                                                           loaded    active   running   Journal Service
  systemd-logind.service                                                                                                                                             loaded    active   running   User Login Management
  systemd-machine-id-commit.service                                                                                                                                  loaded    inactive dead      Commit a transient machine-id on disk
  systemd-modules-load.service                                                                                                                                       loaded    active   exited    Load Kernel Modules
  systemd-networkd.service                                                                                                                                           loaded    inactive dead      Network Configuration
● systemd-oomd.service                                                                                                                                               not-found inactive dead      systemd-oomd.service
  systemd-pcrmachine.service                                                                                                                                         loaded    inactive dead      TPM2 PCR Machine ID Measurement
  systemd-pcrphase-initrd.service                                                                                                                                    loaded    inactive dead      TPM2 PCR Barrier (initrd)
  systemd-pcrphase-sysinit.service                                                                                                                                   loaded    inactive dead      TPM2 PCR Barrier (Initialization)
  systemd-pcrphase.service                                                                                                                                           loaded    inactive dead      TPM2 PCR Barrier (User)
  systemd-poweroff.service                                                                                                                                           loaded    inactive dead      System Power Off
  systemd-pstore.service                                                                                                                                             loaded    inactive dead      Platform Persistent Storage Archival
  systemd-quotacheck.service                                                                                                                                         loaded    inactive dead      File System Quota Check
  systemd-random-seed.service                                                                                                                                        loaded    active   exited    Load/Save OS Random Seed
  systemd-reboot.service                                                                                                                                             loaded    inactive dead      System Reboot
  systemd-remount-fs.service                                                                                                                                         loaded    active   exited    Remount Root and Kernel File Systems
  systemd-repart.service                                                                                                                                             loaded    inactive dead      Repartition Root Disk
  systemd-resolved.service                                                                                                                                           loaded    active   running   Network Name Resolution
  systemd-rfkill.service                                                                                                                                             loaded    inactive dead      Load/Save RF Kill Switch Status
  systemd-soft-reboot.service                                                                                                                                        loaded    inactive dead      Reboot System Userspace
  systemd-suspend-then-hibernate.service                                                                                                                             loaded    inactive dead      System Suspend then Hibernate
  systemd-sysctl.service                                                                                                                                             loaded    active   exited    Apply Kernel Variables
  systemd-sysext.service                                                                                                                                             loaded    inactive dead      Merge System Extension Images into /usr/ and /opt/
  systemd-sysusers.service                                                                                                                                           loaded    inactive dead      Create System Users
  systemd-timesyncd.service                                                                                                                                          loaded    active   running   Network Time Synchronization
  systemd-tmpfiles-clean.service                                                                                                                                     loaded    inactive dead      Cleanup of Temporary Directories
  systemd-tmpfiles-setup-dev-early.service                                                                                                                           loaded    active   exited    Create Static Device Nodes in /dev gracefully
  systemd-tmpfiles-setup-dev.service                                                                                                                                 loaded    active   exited    Create Static Device Nodes in /dev
  systemd-tmpfiles-setup.service                                                                                                                                     loaded    active   exited    Create Volatile Files and Directories
  systemd-tpm2-setup-early.service                                                                                                                                   loaded    inactive dead      TPM2 SRK Setup (Early)
  systemd-tpm2-setup.service                                                                                                                                         loaded    inactive dead      TPM2 SRK Setup
  systemd-udev-settle.service                                                                                                                                        loaded    inactive dead      Wait for udev To Complete Device Initialization
  systemd-udev-trigger.service                                                                                                                                       loaded    active   exited    Coldplug All udev Devices
  systemd-udevd.service                                                                                                                                              loaded    active   running   Rule-based Manager for Device Events and Files
  systemd-update-done.service                                                                                                                                        loaded    inactive dead      Update is Completed
  systemd-update-utmp-runlevel.service                                                                                                                               loaded    inactive dead      Record Runlevel Change in UTMP
  systemd-update-utmp.service                                                                                                                                        loaded    active   exited    Record System Boot/Shutdown in UTMP
  systemd-user-sessions.service                                                                                                                                      loaded    active   exited    Permit User Sessions
● systemd-vconsole-setup.service                                                                                                                                     not-found inactive dead      systemd-vconsole-setup.service
  tailscaled.service                                                                                                                                                 loaded    active   running   Tailscale node agent
  thermald.service                                                                                                                                                   loaded    active   running   Thermal Daemon Service
● tlp.service                                                                                                                                                        not-found inactive dead      tlp.service
  tpm-udev.service                                                                                                                                                   loaded    inactive dead      Handle dynamically added tpm devices
  transfer-usb-io-watchdog.service                                                                                                                                   loaded    active   running   Transfer USB/I/O critical event watchdog
● tuned.service                                                                                                                                                      not-found inactive dead      tuned.service
  ubuntu-system-adjustments.service                                                                                                                                  loaded    active   exited    Ubuntu system adjustments
  udisks2.service                                                                                                                                                    loaded    active   running   Disk Manager
  ufw.service                                                                                                                                                        loaded    active   exited    Uncomplicated firewall
  upower.service                                                                                                                                                     loaded    active   running   Daemon for power management
  user-runtime-dir@1000.service                                                                                                                                      loaded    active   exited    User Runtime Directory /run/user/1000
  user@1000.service                                                                                                                                                  loaded    active   running   User Manager for UID 1000
  uuidd.service                                                                                                                                                      loaded    inactive dead      Daemon for generating UUIDs
  wpa_supplicant.service                                                                                                                                             loaded    active   running   WPA supplicant
  xrdp-sesman.service                                                                                                                                                loaded    active   running   xrdp session manager
  xrdp.service                                                                                                                                                       loaded    active   running   xrdp daemon
  -.slice                                                                                                                                                            loaded    active   active    Root Slice
  system-getty.slice                                                                                                                                                 loaded    active   active    Slice /system/getty
  system-iptsd.slice                                                                                                                                                 loaded    active   active    Slice /system/iptsd
  system-modprobe.slice                                                                                                                                              loaded    active   active    Slice /system/modprobe
  system-systemd\x2dbacklight.slice                                                                                                                                  loaded    active   active    Slice /system/systemd-backlight
  system-systemd\x2dcoredump.slice                                                                                                                                   loaded    active   active    Slice /system/systemd-coredump
  system-systemd\x2dfsck.slice                                                                                                                                       loaded    active   active    Slice /system/systemd-fsck
  system.slice                                                                                                                                                       loaded    active   active    System Slice
  user-1000.slice                                                                                                                                                    loaded    active   active    User Slice of UID 1000
  user.slice                                                                                                                                                         loaded    active   active    User and Session Slice
  avahi-daemon.socket                                                                                                                                                loaded    active   running   Avahi mDNS/DNS-SD Stack Activation Socket
  cups.socket                                                                                                                                                        loaded    active   running   CUPS Scheduler
  dbus.socket                                                                                                                                                        loaded    active   running   D-Bus System Message Bus Socket
  dm-event.socket                                                                                                                                                    loaded    active   listening Device-mapper event daemon FIFOs
  lvm2-lvmpolld.socket                                                                                                                                               loaded    active   listening LVM2 poll daemon socket
  ssh.socket                                                                                                                                                         loaded    active   running   OpenBSD Secure Shell server socket
  syslog.socket                                                                                                                                                      loaded    active   running   Syslog Socket
  systemd-coredump.socket                                                                                                                                            loaded    active   listening Process Core Dump Socket
  systemd-fsckd.socket                                                                                                                                               loaded    active   listening fsck to fsckd communication Socket
