  UNIT                                                                                                                                                               LOAD      ACTIVE     SUB          DESCRIPTION
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.3-2\x2d1.3:1.0-host2-target2:0:0-2:0:0:0-block-sdc-sdc1.device                                              loaded    active     plugged      ST6000DM003-2CY186 Seagate6TB
  sys-devices-pci0000:00-0000:00:14.0-usb2-2\x2d1-2\x2d1.3-2\x2d1.3:1.0-host2-target2:0:0-2:0:0:0-block-sdc.device                                                   loaded    active     plugged      ST6000DM003-2CY186
  sys-devices-pci0000:00-0000:00:16.4-0000:00:16.4\x2d3e8d0870\x2d271a\x2d4208\x2d8eb5\x2d9acb9402ae04-0000:045E:001F.0002-hidraw-hidraw1.device                     loaded    active     plugged      iTouch Controller
  sys-devices-pci0000:00-0000:00:1c.0-0000:01:00.0-net-wlp1s0.device                                                                                                 loaded    active     plugged      88W8897 [AVASTAR] 802.11ac Wireless
  sys-devices-pci0000:00-0000:00:1d.0-0000:02:00.0-nvme-nvme0-nvme0n1-nvme0n1p1.device                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA SYSTEM
  sys-devices-pci0000:00-0000:00:1d.0-0000:02:00.0-nvme-nvme0-nvme0n1-nvme0n1p2.device                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Microsoft\x20Reserved\x20Partition
  sys-devices-pci0000:00-0000:00:1d.0-0000:02:00.0-nvme-nvme0-nvme0n1-nvme0n1p3.device                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Basic\x20data\x20partition
  sys-devices-pci0000:00-0000:00:1d.0-0000:02:00.0-nvme-nvme0-nvme0n1-nvme0n1p4.device                                                                               loaded    active     plugged      KBG30ZPZ256G TOSHIBA Windows_RE_tools
  sys-devices-pci0000:00-0000:00:1d.0-0000:02:00.0-nvme-nvme0-nvme0n1.device                                                                                         loaded    active     plugged      KBG30ZPZ256G TOSHIBA
  sys-devices-pci0000:00-0000:00:1f.3-sound-card0-controlC0.device                                                                                                   loaded    active     plugged      /sys/devices/pci0000:00/0000:00:1f.3/sound/card0/controlC0
  sys-devices-platform-NTC0103:00-tpm-tpm0.device                                                                                                                    loaded    active     plugged      /sys/devices/platform/NTC0103:00/tpm/tpm0
  sys-devices-platform-NTC0103:00-tpmrm-tpmrm0.device                                                                                                                loaded    active     plugged      /sys/devices/platform/NTC0103:00/tpmrm/tpmrm0
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.0-tty-ttyS0.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.0/tty/ttyS0
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.1-tty-ttyS1.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.1/tty/ttyS1
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.10-tty-ttyS10.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.10/tty/ttyS10
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.11-tty-ttyS11.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.11/tty/ttyS11
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.12-tty-ttyS12.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.12/tty/ttyS12
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.13-tty-ttyS13.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.13/tty/ttyS13
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.14-tty-ttyS14.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.14/tty/ttyS14
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.15-tty-ttyS15.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.15/tty/ttyS15
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.16-tty-ttyS16.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.16/tty/ttyS16
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.17-tty-ttyS17.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.17/tty/ttyS17
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.18-tty-ttyS18.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.18/tty/ttyS18
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.19-tty-ttyS19.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.19/tty/ttyS19
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.2-tty-ttyS2.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.2/tty/ttyS2
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.20-tty-ttyS20.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.20/tty/ttyS20
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.21-tty-ttyS21.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.21/tty/ttyS21
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.22-tty-ttyS22.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.22/tty/ttyS22
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.23-tty-ttyS23.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.23/tty/ttyS23
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.24-tty-ttyS24.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.24/tty/ttyS24
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.25-tty-ttyS25.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.25/tty/ttyS25
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.26-tty-ttyS26.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.26/tty/ttyS26
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.27-tty-ttyS27.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.27/tty/ttyS27
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.28-tty-ttyS28.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.28/tty/ttyS28
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.29-tty-ttyS29.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.29/tty/ttyS29
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.3-tty-ttyS3.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.3/tty/ttyS3
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.30-tty-ttyS30.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.30/tty/ttyS30
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.31-tty-ttyS31.device                                                                                     loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.31/tty/ttyS31
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.5-tty-ttyS5.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.5/tty/ttyS5
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.6-tty-ttyS6.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.6/tty/ttyS6
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.7-tty-ttyS7.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.7/tty/ttyS7
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.8-tty-ttyS8.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.8/tty/ttyS8
  sys-devices-platform-serial8250-serial8250:0-serial8250:0.9-tty-ttyS9.device                                                                                       loaded    active     plugged      /sys/devices/platform/serial8250/serial8250:0/serial8250:0.9/tty/ttyS9
  sys-devices-virtual-block-zram0.device                                                                                                                             loaded    active     plugged      /sys/devices/virtual/block/zram0
  sys-devices-virtual-misc-rfkill.device                                                                                                                             loaded    active     plugged      /sys/devices/virtual/misc/rfkill
  sys-devices-virtual-net-tailscale0.device                                                                                                                          loaded    active     plugged      /sys/devices/virtual/net/tailscale0
  sys-devices-virtual-tty-ttyprintk.device                                                                                                                           loaded    active     plugged      /sys/devices/virtual/tty/ttyprintk
  sys-module-configfs.device                                                                                                                                         loaded    active     plugged      /sys/module/configfs
  sys-module-fuse.device                                                                                                                                             loaded    active     plugged      /sys/module/fuse
  sys-subsystem-bluetooth-devices-hci0.device                                                                                                                        loaded    active     plugged      /sys/subsystem/bluetooth/devices/hci0
  sys-subsystem-bluetooth-devices-hci0:128.device                                                                                                                    loaded    active     plugged      /sys/subsystem/bluetooth/devices/hci0:128
  sys-subsystem-bluetooth-devices-hci0:129.device                                                                                                                    loaded    active     plugged      /sys/subsystem/bluetooth/devices/hci0:129
  sys-subsystem-net-devices-tailscale0.device                                                                                                                        loaded    active     plugged      /sys/subsystem/net/devices/tailscale0
  sys-subsystem-net-devices-wlp1s0.device                                                                                                                            loaded    active     plugged      88W8897 [AVASTAR] 802.11ac Wireless
  -.mount                                                                                                                                                            loaded    active     mounted      Root Mount
  boot-efi.mount                                                                                                                                                     loaded    active     mounted      /boot/efi
  dev-hugepages.mount                                                                                                                                                loaded    active     mounted      /dev/hugepages
  dev-mqueue.mount                                                                                                                                                   loaded    active     mounted      /dev/mqueue
  media-daniele-Seagate6TB2.mount                                                                                                                                    loaded    active     mounted      /media/daniele/Seagate6TB2
  proc-sys-fs-binfmt_misc.mount                                                                                                                                      loaded    active     mounted      /proc/sys/fs/binfmt_misc
  run-user-1000-doc.mount                                                                                                                                            loaded    active     mounted      /run/user/1000/doc
  run-user-1000-gvfs.mount                                                                                                                                           loaded    active     mounted      /run/user/1000/gvfs
  run-user-1000.mount                                                                                                                                                loaded    active     mounted      /run/user/1000
  sys-fs-fuse-connections.mount                                                                                                                                      loaded    active     mounted      /sys/fs/fuse/connections
  sys-kernel-config.mount                                                                                                                                            loaded    active     mounted      /sys/kernel/config
  sys-kernel-debug.mount                                                                                                                                             loaded    active     mounted      /sys/kernel/debug
  sys-kernel-tracing.mount                                                                                                                                           loaded    active     mounted      /sys/kernel/tracing
  mint-xfce-layout-guard.path                                                                                                                                        loaded    active     waiting      Watch Linux Mint XFCE panel layout for regressions
  app-com.google.Chrome-2164467.scope                                                                                                                                loaded    active     running      app-com.google.Chrome-2164467.scope
  app-flatpak-org.gnome.World.Secrets-871381.scope                                                                                                                   loaded    active     running      app-flatpak-org.gnome.World.Secrets-871381.scope
  app-flatpak-org.telegram.desktop-1519653.scope                                                                                                                     loaded    active     running      app-flatpak-org.telegram.desktop-1519653.scope
  init.scope                                                                                                                                                         loaded    active     running      System and Service Manager
  vte-spawn-1a0a1e12-158f-4cb0-8f0f-9b244146c4ef.scope                                                                                                               loaded    active     running      VTE child process 75815 launched by xfce4-terminal process 75228
  vte-spawn-65d0e370-3460-4fd8-992a-1aa914005095.scope                                                                                                               loaded    active     running      VTE child process 204279 launched by xfce4-terminal process 75228
  adb-wifi-autoconnect.service                                                                                                                                       loaded    active     running      ADB Wi-Fi Debug auto-connect
  amici_fb.service                                                                                                                                                   loaded    inactive   dead         Snapshot amici Facebook + diff + SQLite + Telegram
● android-sdk-auto-update.service                                                                                                                                    loaded    failed     failed       Android SDK auto update via sdkmanager
  at-spi-dbus-bus.service                                                                                                                                            loaded    active     running      Accessibility services bus
  aw-watcher-media-player.service                                                                                                                                    loaded    activating auto-restart ActivityWatch media player watcher
  chatgpt-chrome-live-logger.service                                                                                                                                 loaded    active     running      ChatGPT Chrome passive live logger
  codex-html-live.service                                                                                                                                            loaded    active     running      Live HTML archive for Codex sessions
  codex-usage-monitor.service                                                                                                                                        loaded    inactive   dead         Codex usage monitor poll
  dbus.service                                                                                                                                                       loaded    active     running      D-Bus User Message Bus
  dconf.service                                                                                                                                                      loaded    active     running      User preferences database
  dirmngr.service                                                                                                                                                    loaded    inactive   dead         GnuPG network certificate management daemon
  evolution-addressbook-factory.service                                                                                                                              loaded    active     running      Evolution address book service
  evolution-calendar-factory.service                                                                                                                                 loaded    active     running      Evolution calendar service
  evolution-source-registry.service                                                                                                                                  loaded    active     running      Evolution source registry
  filter-chain.service                                                                                                                                               loaded    active     running      PipeWire filter chain daemon
  flatpak-session-helper.service                                                                                                                                     loaded    active     running      flatpak session helper
  gcr-ssh-agent.service                                                                                                                                              loaded    inactive   dead         GCR ssh-agent wrapper
  gnome-keyring-daemon.service                                                                                                                                       loaded    active     running      GNOME Keyring daemon
  gpg-agent.service                                                                                                                                                  loaded    active     running      GnuPG cryptographic agent and passphrase cache
  gvfs-afc-volume-monitor.service                                                                                                                                    loaded    active     running      Virtual filesystem service - Apple File Conduit monitor
  gvfs-daemon.service                                                                                                                                                loaded    active     running      Virtual filesystem service
  gvfs-goa-volume-monitor.service                                                                                                                                    loaded    active     running      Virtual filesystem service - GNOME Online Accounts monitor
  gvfs-gphoto2-volume-monitor.service                                                                                                                                loaded    active     running      Virtual filesystem service - digital camera monitor
  gvfs-metadata.service                                                                                                                                              loaded    active     running      Virtual filesystem metadata service
  gvfs-mtp-volume-monitor.service                                                                                                                                    loaded    active     running      Virtual filesystem service - Media Transfer Protocol monitor
  gvfs-udisks2-volume-monitor.service                                                                                                                                loaded    active     running      Virtual filesystem service - disk device monitor
  home-backup-kuma-push.service                                                                                                                                      loaded    inactive   dead         Home backup Kuma push heartbeat v16
  home-backup-retention-kuma-push.service                                                                                                                            loaded    inactive   dead         Home backup retention Kuma push heartbeat v16
  home-incremental-backup.service                                                                                                                                    loaded    inactive   dead         Low-impact /home incremental rsync snapshot backup
  keyboxd.service                                                                                                                                                    loaded    inactive   dead         GnuPG public key management service
  launchpadlib-cache-clean.service                                                                                                                                   loaded    inactive   dead         Clean up old files in the Launchpadlib cache
  logseq-update-checker.service                                                                                                                                      loaded    inactive   dead         Logseq update checker
  mint-extra-updater.service                                                                                                                                         loaded    inactive   dead         Linux Mint extra user-managed updater
  mint-manual-updates.service                                                                                                                                        loaded    inactive   dead         Linux Mint manual safe updates v1
  mint-update-tracker-backfill.service                                                                                                                               loaded    inactive   dead         Software audit recovery backfill
  mint-update-tracker.service                                                                                                                                        loaded    active     running      Software audit black-box recorder
  mint-xfce-layout-guard.service                                                                                                                                     loaded    inactive   dead         Repair Linux Mint XFCE panel layout if it regresses
  obex.service                                                                                                                                                       loaded    active     running      Bluetooth OBEX service
● parcel-tracker.service                                                                                                                                             loaded    failed     failed       Parcel tracker check
● pipewire-media-session.service                                                                                                                                     not-found inactive   dead         pipewire-media-session.service
  pipewire-pulse.service                                                                                                                                             loaded    active     running      PipeWire PulseAudio
● pipewire-session-manager.service                                                                                                                                   not-found inactive   dead         pipewire-session-manager.service
  pipewire.service                                                                                                                                                   loaded    active     running      PipeWire Multimedia Service
  pk-debconf-helper.service                                                                                                                                          loaded    inactive   dead         debconf communication service
● pulseaudio.service                                                                                                                                                 not-found inactive   dead         pulseaudio.service
  rsync-uptime-kuma-push.service                                                                                                                                     loaded    active     running      Push transfer rsync status to Uptime Kuma
  speech-dispatcher.service                                                                                                                                          loaded    inactive   dead         Common interface to speech synthesizers
  system-service-dashboard.service                                                                                                                                   loaded    active     running      Local Linux Mint service dashboard
● systemd-remount-fs.service                                                                                                                                         not-found inactive   dead         systemd-remount-fs.service
  terminal-logger-codex-snapshot.service                                                                                                                             loaded    inactive   dead         Codex chat logger snapshot sweep
  terminal-logger-codex.service                                                                                                                                      loaded    active     running      Codex chat terminal logger daemon
● terminal-logger-maintenance.service                                                                                                                                loaded    failed     failed       Terminal Logger maintenance
  transfer-vecchio-disco-adaptive-throttle.service                                                                                                                   loaded    active     running      Adaptive conservative throttle for transfer_vecchio_disco phase 2
  tumblerd.service                                                                                                                                                   loaded    active     running      Thumbnailing service
  windowtabnotes.service                                                                                                                                             loaded    active     running      WindowTabNotes local daemon
  wireplumber.service                                                                                                                                                loaded    active     running      Multimedia Service Session Manager
  x11vnc-real-display.service                                                                                                                                        loaded    active     running      Mirror physical XFCE X11 display :0 through x11vnc
  xdg-desktop-portal-gtk.service                                                                                                                                     loaded    active     running      Portal service (GTK/GNOME implementation)
  xdg-desktop-portal-xapp.service                                                                                                                                    loaded    active     running      Portal service (XApp implementation)
  xdg-desktop-portal.service                                                                                                                                         loaded    active     running      Portal service
  xdg-document-portal.service                                                                                                                                        loaded    active     running      flatpak document portal service
  xdg-permission-store.service                                                                                                                                       loaded    active     running      sandboxed app permission store
  xfce4-notifyd.service                                                                                                                                              loaded    active     running      XFCE notifications service
  -.slice                                                                                                                                                            loaded    active     active       Root Slice
  app.slice                                                                                                                                                          loaded    active     active       User Application Slice
  session.slice                                                                                                                                                      loaded    active     active       User Core Session Slice
  dbus.socket                                                                                                                                                        loaded    active     running      D-Bus User Message Bus Socket
  dirmngr.socket                                                                                                                                                     loaded    active     listening    GnuPG network certificate management daemon
  gcr-ssh-agent.socket                                                                                                                                               loaded    active     listening    GCR ssh-agent wrapper
  gnome-keyring-daemon.socket                                                                                                                                        loaded    active     running      GNOME Keyring daemon
  gpg-agent-browser.socket                                                                                                                                           loaded    active     running      GnuPG cryptographic agent and passphrase cache (access for web browsers)
  gpg-agent-extra.socket                                                                                                                                             loaded    active     running      GnuPG cryptographic agent and passphrase cache (restricted)
  gpg-agent-ssh.socket                                                                                                                                               loaded    active     running      GnuPG cryptographic agent (ssh-agent emulation)
  gpg-agent.socket                                                                                                                                                   loaded    active     running      GnuPG cryptographic agent and passphrase cache
  keyboxd.socket                                                                                                                                                     loaded    active     listening    GnuPG public key management service
  pipewire-pulse.socket                                                                                                                                              loaded    active     running      PipeWire PulseAudio
  pipewire.socket                                                                                                                                                    loaded    active     running      PipeWire Multimedia System Sockets
  pk-debconf-helper.socket                                                                                                                                           loaded    active     listening    debconf communication socket
● pulseaudio.socket                                                                                                                                                  not-found inactive   dead         pulseaudio.socket
  speech-dispatcher.socket                                                                                                                                           loaded    active     listening    Speech Dispatcher Socket
  dev-zram0.swap                                                                                                                                                     loaded    active     active       /dev/zram0
  swapfile.swap                                                                                                                                                      loaded    active     active       /swapfile
  basic.target                                                                                                                                                       loaded    active     active       Basic System
● blockdev@dev-sda1.target                                                                                                                                           not-found inactive   dead         blockdev@dev-sda1.target
● blockdev@dev-sdc1.target                                                                                                                                           not-found inactive   dead         blockdev@dev-sdc1.target
● blockdev@dev-zram0.target                                                                                                                                          not-found inactive   dead         blockdev@dev-zram0.target
  bluetooth.target                                                                                                                                                   loaded    active     active       Bluetooth
  default.target                                                                                                                                                     loaded    active     active       Main User Target
  graphical-session.target                                                                                                                                           loaded    inactive   dead         Current graphical user session
● network-online.target                                                                                                                                              not-found inactive   dead         network-online.target
  paths.target                                                                                                                                                       loaded    active     active       Paths
  shutdown.target                                                                                                                                                    loaded    inactive   dead         Shutdown
  sockets.target                                                                                                                                                     loaded    active     active       Sockets
  sound.target                                                                                                                                                       loaded    inactive   dead         Sound Card
  timers.target                                                                                                                                                      loaded    active     active       Timers
  amici_fb.timer                                                                                                                                                     loaded    active     waiting      Esecuzione giornaliera amici_fb alle 09:00
  android-sdk-auto-update.timer                                                                                                                                      loaded    active     waiting      Daily Android SDK auto update timer
  codex-usage-monitor.timer                                                                                                                                          loaded    active     waiting      Run Codex usage monitor hourly
  home-backup-kuma-push.timer                                                                                                                                        loaded    active     waiting      Home backup Kuma push heartbeat timer v16
  home-backup-retention-kuma-push.timer                                                                                                                              loaded    active     waiting      Home backup retention Kuma push heartbeat timer v16
  home-incremental-backup.timer                                                                                                                                      loaded    active     waiting      Nightly low-impact /home incremental backup timer
  launchpadlib-cache-clean.timer                                                                                                                                     loaded    active     waiting      Clean up old files in the Launchpadlib cache
  logseq-update-checker.timer                                                                                                                                        loaded    active     waiting      Daily Logseq update check
  mint-extra-updater.timer                                                                                                                                           loaded    active     waiting      Optional weekly Linux Mint extra user-managed updater
  mint-manual-updates.timer                                                                                                                                          loaded    active     waiting      Weekly Linux Mint manual safe updates v1
  mint-update-tracker.timer                                                                                                                                          loaded    active     waiting      Run software audit recovery backfill
  mint-xfce-layout-guard.timer                                                                                                                                       loaded    active     waiting      Periodically verify Linux Mint XFCE panel layout
  parcel-tracker.timer                                                                                                                                               loaded    active     waiting      Parcel tracker every 30 minutes
  terminal-logger-codex-snapshot.timer                                                                                                                               loaded    active     waiting      Run Codex chat logger snapshot sweep
  terminal-logger-maintenance.timer                                                                                                                                  loaded    active     waiting      Run Terminal Logger maintenance daily

Legend: LOAD   → Reflects whether the unit definition was properly loaded.
        ACTIVE → The high-level unit activation state, i.e. generalization of SUB.
        SUB    → The low-level unit activation state, values depend on unit type.

350 loaded units listed.
To show all installed unit files use 'systemctl list-unit-files'.
